Shiyakha,Thumn,Male Inhabitants,Female Inhabitants,Inhabitants,Female %,"Boulevards, Rues, Ruelles, etc.",Habitations  et Locaux Recensés,Persons per Residence,% Egyptian,% foreign,Égyptiens Total,Étrangers Total,Grece,Italie,France,Grande-Bertagne,Allemagne,Russie ,Austriche-Hongrie ,Autres pays,Musulmans  Total,Non-Muslim %,Non-Muslims Total,sum of non-Muslims,error?,Copts as % of Christians,Catholics as % of Christians,Jews as % of non-Muslims,Chretiens Total,Cophtes,Orthodoxes,Catholiques,Protestants,Israelites Total,Divers Total,Male Sachant Lire et Écrire,Male Illettrés,Female literacy,Female Sachant Lire et Écrire,Female Illettrées,% of Men without profession,Male Diverses Professions,Male San Profession,Female Diverses Professions,Female Sans Professions
El Sayala el Kobra,1,2243,2034,4277,47.6,7,296,14.4,97.2,2.8,4158,119,,1,90,16,,,,12,4243,0.8,34,34,0,50,26.5,0,34,17,,9,8,,,278,1965,0.8,16,2018,38,1391,852,117,1917
El Haggari,1,1546,1609,3155,51,10,233,13.5,97.6,2.4,3079,76,6,2,55,3,,,,10,3125,1,30,30,0,0,6.7,0,30,,25,2,3,,,271,1275,1.1,18,1591,41.3,908,638,117,1492
Ras el Tine,1,2892,2331,5223,44.6,19,528,9.9,90.8,9.2,4741,482,3,1,6,469,,,2,1,4618,11.6,605,605,0,19.7,11.3,0.8,600,118,6,68,408,5,,535,2357,3.2,75,2256,31.5,1980,912,111,2220
Zawiet el Kabbanieh,1,2069,1975,4044,48.8,15,306,13.2,99.3,0.7,4014,30,,,15,,,,,15,4013,0.8,31,31,0,93.5,0,0,31,29,2,,,,,331,1738,1.6,32,1943,38.6,1271,798,104,1871
El Sayadine el Charki,1,2074,2001,4075,49.1,12,304,13.4,98.8,1.2,4027,48,5,,27,2,,,1,13,4062,0.3,13,13,0,23.1,0,0,13,3,7,,3,,,369,1705,0.6,13,1988,45.1,1139,935,59,1942
El Berka,1,2236,2094,4330,48.4,8,322,13.4,97.9,2.1,4237,93,4,,78,,,,,11,4303,0.6,27,27,0,25.9,0,0,27,7,20,,,,,610,1626,0,,2094,42.6,1283,953,136,1958
El Sayala el Soghra,1,2162,2005,4167,48.1,11,308,13.5,98.8,1.2,4116,51,,,46,2,,,3,,4160,0.2,7,7,0,71.4,28.6,0,7,5,,2,,,,396,1766,0,,2005,27.4,1569,593,114,1891
El Mazar,1,2328,2437,4765,51.1,4,323,14.8,99.8,0.2,4757,8,,,,6,,,,2,4759,0.1,6,6,0,0,100,0,6,,,6,,,,1108,1220,2.1,51,2386,35.7,1496,832,218,2219
El Sayadine el Gharbi,1,1949,1942,3891,49.9,15,286,13.6,99.3,0.7,3865,26,3,,9,14,,,,64,3861,0.8,30,30,0,33.3,33.3,0,30,10,6,10,4,,,1341,608,1,20,1922,39.3,1183,766,99,1843
Haret el Chemirli el Gharbi,2,1489,1255,2744,45.7,9,233,11.8,92.2,7.8,2530,214,51,30,87,19,,,9,18,2144,21.9,600,600,0,31.9,6.9,64,216,69,132,15,,384,,377,1112,6.4,80,1175,30.2,1040,449,75,1180
El Maghawri,2,1757,1550,3307,46.9,9,245,13.5,96.8,3.2,3202,105,28,,32,3,,5,,37,3227,2.4,80,80,0,17.6,12.2,7.5,74,13,52,9,,6,,524,1233,1.5,23,1527,22.8,1357,400,128,1422
El Halwagui,2,1411,1251,2662,47,10,167,15.9,94,6,2501,161,36,1,109,3,,8,4,,2557,3.9,105,105,0,11,14.6,21.9,82,9,61,12,,23,,238,1173,1.6,20,1231,23.2,1083,328,104,1147
Charé'h el Bacha,2,2009,1474,3483,42.3,14,243,14.3,95.9,4.1,3340,143,36,21,53,15,,,1,17,3320,4.7,163,163,0,21.1,29.6,6.7,152,32,74,45,1,11,,440,1569,3.3,48,1426,24.7,1512,497,119,1355
Haret el Chemirli el Charki,2,1292,1216,2508,48.5,14,174,14.4,93.5,6.5,2344,164,24,3,84,12,1,,18,22,2250,10.3,258,258,0,36.4,31.8,57.4,110,40,29,35,6,148,,234,1058,2.3,28,1188,31,891,401,74,1142
Medawara,2,2085,1525,3610,42.2,14,222,16.3,80,20,2888,722,379,53,194,50,2,5,11,28,2405,33.4,1205,1205,0,5.4,9.4,42.9,688,37,572,65,14,517,,713,1372,12.3,188,1337,22.4,1619,466,303,1222
