"QUARTIERS BOULEVARDS, RUES, RUELLES, ETC.",HABITATIONS ET LOGEMENTS,POPULATION MASC.,POPULATION FEM.,POPULATION TOTAL
GOUMROUK - Kism 1 T. 1,,,,
El Sayala el Kobra,,,,
Haret el Borg,35,237,222,459
Haret Eskaro,24,128,119,247
Haret el Karantina,14,49,59,108
Haret el Gheiti,7,51,52,103
Haret el Sayala el Charkieh,17,123,110,233
Haret el Sayala el Kobra,112,916,838,1754
Charé'h el Abassiri,87,739,634,1373
,296,2243,2034,4277
El Haggari,,,,
Charé'h el Adly,10,54,62,116
Haret el Battikhi,35,182,182,364
Charé'h Abou Gharbieh,17,122,121,243
Haret el Nadimi,14,64,60,124
Charé'h Zawiet Khattab,20,131,156,287
Haret Sidi Daoud,8,39,47,86
Haret el Wardani,32,202,223,425
Charé'h el Haggari,26,186,179,365
Charé'h Sa'dallah,26,181,223,404
Charé'h Abou Sen,45,385,356,741
,233,1546,1609,3155
Ras el Tine,,,,
Charé'h el Owad,47,286,248,534
Haret Ewedah,9,42,37,79
Haret el Damanhouri,13,69,70,139
Haret el Gamil,25,61,61,122
Haret Gadallah,20,44,51,95
Haret Ghorayeb,26,57,73,130
Haret Afifi,34,92,91,183
Haret el Badrawi,31,81,90,171
Haret Awadallah,37,110,90,200
Haret el Makhzaa,28,93,98,191
Haret el Tawabeh,24,88,96,184
Haret el Darb,33,73,84,157
Haret el Cha'er,30,67,71,138
Haret el Batrawi,14,46,62,108
Haret el Chahwan,22,78,78,156
Charé'h el Bahr,42,243,269,512
Charé'h el Gabal,32,212,198,410
Charé'h Ras el Tine w. Kichlak,7,662,108,770
Haret el Kabaline,54,488,456,944
,528,2892,2331,5223
Zawiet el Kabbanieh,,,,
Charé'h Sidi Youssef el Go’rani,29,115,113,228
Zokak Forn el Na`nayi,11,80,88,168
Zokak el Dayeh,15,108,129,237
Haret Yasso,12,54,54,108
Haret Abdel Wahab,11,74,75,149
Zokak Rayan,6,57,46,103
Zokak Ahmad el Barsigui,3,8,11,19
Haret Abdel Khalek el Bitache,7,19,26,45
Haret Sidi Mass’oud,10,59,54,113
Zokak el Fawal,13,61,64,125
Haret Abdel Aziz el Gallad,13,101,119,220
Haret el Hanafieh,50,322,306,628
Haret Matfan el Bitache,41,308,305,613
Charé'h Zawiet el Kabbanieh,47,394,318,712
Haret el Maktab,38,309,267,576
,306,2069,1975,4044
El Sayadine el Charki,,,,
Haret Bendoka,60,326,299,625
Charé'h Zawiet Bakir,16,108,115,223
Charé'h Saleh el Heddeni,21,154,157,311
Charé'h Chimi Bey,15,59,53,112
Charé'h Rassem Pacha,18,84,87,171
Charé'h el Anfouchi,12,37,39,76
Charé'h Moghrabi Effendi,25,127,129,256
Charé'h el Haggari,1,3,4,7
Charé'h Zawiet Khattab,20,164,195,359
Charé'h Sehsah,53,573,483,1056
Charé'h el Arab,36,256,255,511
Charé'h Aly Cha'ban,27,183,185,368
,304,2074,2001,4075
El Berka,,,,
Haret el Berka,54,245,320,565
Charé'h el Mawazini,13,186,197,383
Charé'h Abou Nawayah,25,198,192,390
Charé'h Gamé'h Taher Bey,34,179,225,404
Charé'h el Dib,57,175,296,471
Charé'h Bahnassi,51,519,295,814
Haret el Ghazalat,50,443,339,782
Charé'h el Haggari,38,291,230,521
,322,2236,2094,4330
El Sayala el Soghra,,,,
Haret el Maghrabi,15,100,84,184
Haret el Teleti,9,48,45,93
Haret Ibrahim el Fakharani,11,59,61,120
Haret Sidi Yacout,11,47,65,112
Haret el Ach'àl,16,111,124,235
Haret Abou Chagar,12,82,69,151
Haret el Dawayati,47,249,263,512
Charé'h el Sayala,21,197,204,401
Charé'h Sidi Kazaman,53,401,352,753
Charé'h Sidi Yacout,46,352,301,653
Haret el Boreni,67,516,437,953
,308,2162,2005,4167
El Mazar,,,,
Haret el Mazar,48,324,330,654
Haret el Mazar w. Saba' Koran,90,762,843,1605
Haret el Cheikh el Banna,36,294,325,619
Haret Sidi el Mawazini,149,948,939,1887
,323,2328,2437,4765
El Sayadine el Gharbi,,,,
Zokak Salha Effendi el Hakima,16,79,88,167
Haret Moussa Bey,5,18,24,42
Haret Ahmed Bey Bakri,36,276,248,524
Haret el Sa'aïda,18,113,126,239
Haret el Bechouti,5,42,35,77
Charé'h Ahmad Bey Abdallah,10,39,54,93
Charé'h Ahmad Effendi Ayad,8,72,65,137
Haret Yassa,28,153,183,336
Bazbouzet Karakiche,30,174,163,337
Haret Sidi Youssef el Go’rani,18,83,95,178
Haret Mahmoud Aly el Dib,31,157,177,334
Haret el Chabassi,9,55,54,109
Haret Abdel Hamid eff. Mass’oud,10,49,68,117
