No.,Districts ,MASC.,FEM.,TOTAL,"Subdivisions: Boulevards, Rues, Ruelles, etc.",Subdivisions: Habitations et Locaux Recensés,Nationalities: Égyptiens Total,Nationalities: Étrangers Total,Nationalities: Grece,Nationalities: Italie,Nationalities: France,Nationalities: Grande-Bertagne,Nationalities: Allemegne,Nationalities: Russie ,Nationalities: Austriche-Hongrie ,Nationalities: Autres pays,Religion: Musulmans Total,Religion: Christian: Chretiens Total,Religion: Christian: Cophtes,Religion: Christian: Orthodoxes,Religion: Christian: Catholiques,Religion: Christian: Protestants,Religion: Israelites Total,Religion: Divers Total,Literacy: Male: Sachant Lire et Écrire,Literacy: Male: Illettrés,Literacy: Female: Sachant Lire et Écrire,Literacy: Female: Illettrées,Profession: Male: Diverses Professions,Profession: Male: Sans Profession,Profession: Female: Diverses Professions,Profession: Female: Sans Professions
,El Sayala el Kobra,2243,2034,4277,7,296,4158,119,,1,90,16,,,,12,4243,34,17,,9,8,,,278,1965,16,2018,1391,852,117,1917
,El Haggari,1546,1609,3155,10,233,3079,76,6,2,55,3,,,,10,3125,30,,25,2,3,,,271,1275,18,1591,908,638,117,1492
,Ras el Tine,2892,2331,5223,19,528,4741,482,3,1,6,469,,,2,1,4618,600,118,6,68,408,5,,535,2357,75,2256,1980,912,111,2220
,Zawiet el Kabbanieh,2069,1975,4044,15,306,4014,30,,,15,,,,,15,4013,31,29,2,,,,,331,1738,32,1943,1271,798,104,1871
,El Sayadine el Charki,2074,2001,4075,12,304,4027,48,5,,27,2,,,1,13,4062,13,3,7,,3,,,369,1705,13,1988,1139,935,59,1942
,El Berka,2236,2094,4330,8,322,4237,93,4,,78,,,,,11,4303,27,7,20,,,,,610,1626,,2094,1283,953,136,1958
,El Sayala el Soghra,2162,2005,4167,11,308,4116,51,,,46,2,,,3,,4160,7,5,,2,,,,396,1766,,2005,1569,593,114,1891
,El Mazar,2328,2437,4765,4,323,4757,8,,,,6,,,,2,4759,6,,,6,,,,1108,1220,51,2386,1496,832,218,2219
,El Sayadine el Gharbi,1949,1942,3891,15,286,3865,26,3,,9,14,,,,64,3861,30,10,6,10,4,,,1341,608,20,1922,1183,766,99,1843
3,"TOTAL Goumrouk.-K. 1er, T. 1er",19499,18428,37927,101,2906,36994,933,21,4,326,512,,,6,64,37144,778,189,66,97,426,5,0,5239,14260,225,18203,12220,7279,1075,17353
