Serial Number of Sheyaka,Administrative Divison,Total of Occupied Houses,Total Population Male,Total Population Female,Total Population,Population Able to Read and Write Male,Population Able to Read and Write Female,Musulmans,Copts Orthodox,Copts Catholic,Copts Protestant,Copts Total,Other Christians Roman Catholic,Other Christians Protestant,Other Christians Greek Orthodox,Other Christians Eastern Christians,Other Christians Total,Jews,Others
,Attarin Qism :—,,,,,,,,,,,,,,,,,,
1,Attarin No. 1,809,1915,1905,3820,1100,871,1256,20,10,• • •,30,907,33,1164,167,2271,252,11
2,Attarin No. 2,1061,4579,4303,8882,3020,2189,731,139,24,4,167,3367,111,2944,1266,7688,292,4
3,Bab el Sharqi,206,1134,1217,2351,383,446,1412,7,9,• • •,16,260,78,273,63,674,249,• • •
4,Kom el Dikka,1080,3527,3498,7025,907,412,5676,38,3,• • •,41,348,115,549,156,1168,140,• • •
5,Mesalla el Gedida,768,3789,3531,7320,2282,1913,1682,127,18,• • •,145,1430,318,2721,200,4669,812,12
6,Mesalla el Qadima,346,1463,1481,2944,952,870,509,12,• • •,• • •,12,462,80,1333,227,2102,321,• • •
7,Suri,537,2845,2098,4943,1303,490,2058,76,21,4,101,685,27,1476,508,2696,85,3
,Total. Attarin Qism,4807,19252,18033,37285,9947,7191,13324,419,85,8,512,7459,762,10460,2587,21268,2151,30
,Gumruk Qism :—,,,,,,,,,,,,,,,,,,
1,Abasieri and Abu el Abbas,340,2121,2044,4165,439,20,4164,1,• • •,• • •,1,• • •,• • •,• • •,• • •,• • •,• • •,• • •
2,Abu Shusha,386,1940,1846,3786,469,107,2379,50,• • •,• • •,50,81,15,465,89,650,707,• • •
3,Balaqtaria,569,3315,3100,6415,761,161,5502,69,6,• • •,75,69,24,592,111,796,42,• • •
4,Haggari,214,1351,1377,2728,352,35,2723,• • •,• • •,• • •,• • •,• • •,5,• • •,• • •,5,• • •,• • •
5,Haggari and Mawazini,421,2160,2148,4308,682,47,4286,13,• • •,• • •,13,• • •,• • •,9,• • •,9,• • •,• • •
6,Halwagi,192,1263,1173,2436,331,54,2182,11,2,• • •,13,18,18,72,15,123,118,• • •
7,Haret el Yahud,550,2334,2138,4472,699,202,2034,42,• • •,• • •,42,8,1,648,63,720,1676,• • •
8,Maghawri and Abu Warda,245,1380,1352,2732,329,34,2692,6,2,• • •,8,1,• • •,18,• • •,19,13,• • •
9,Mazar,328,1718,1712,3430,476,26,3418,7,• • •,1,8,• • •,• • •,1,3,4,• • •,• • •
10,Medawara,244,1791,1214,3105,711,182,1292,37,1,• • •,38,34,3,869,153,1059,716,• • •
11,Qabu el Mellah,436,2076,2002,4078,357,43,2975,100,2,• • •,102,• • •,• • •,237,46,283,718,• • •
12,Ras el Tin,308,2203,1618,3821,776,45,3277,81,7,• • •,88,53,383,18,• • •,454,2,• • •
13,Safar Pasha,212,1232,1205,2437,359,15,2385,28,• • •,• • •,28,• • •,• • •,21,3,24,• • •,• • •
14,Saiadin,398,1773,1720,3493,437,• • •,3466,27,• • •,• • •,27,• • •,• • •,• • •,• • •,• • •,• • •,• • •
15,Saiala and Sidi Yaqut,490,2256,2115,4371,563,15,4335,33,• • •,• • •,33,• • •,1,2,• • •,3,• • •,• • •
16,Shemirli,167,1112,1059,2171,238,25,1834,3,• • •,• • •,3,• • •,• • •,56,23,79,255,• • •
17,Shemirli and Zawiet el Arag,260,1458,1085,2543,302,45,1996,25,• • •,• • •,25,5,• • •,64,20,89,433,• • •
18,Timrazia,330,1320,1321,2641,353,48,2500,3,• • •,• • •,3,7,• • •,28,57,92,46,• • •
19,Zawiet Qabbania,350,2134,2063,4197,484,60,4060,80,• • •,• • •,80,45,• • •,7,5,57,• • •,• • •
20,Zawiet Khattab,367,2272,1944,4216,782,31,4195,11,• • •,• • •,11,• • •,• • •,10,• • •,10,• • •,• • •
,"Total, Gumruk Qism",6807,37209,34336,71545,9900,1195,61695,627,20,1,648,321,450,3117,588,4476,4726,• • •
,Karmuz Qism :—,,,,,,,,,,,,,,,,,,
1,Bab Sidra Gharbi,335,1546,1501,3047,235,29,2609,197,16,• • •,213,63,• • •,65,77,205,20,• • •
2,Bab Sidra Sharqi and Suq el Ghanam,1659,6492,6065,12557,1238,241,9856,914,9,8,931,277,26,947,481,1731,39,• • •
3,Gama Sultan,559,3055,3048,6103,1087,442,4085,96,9,• • •,105,454,10,908,494,1866,37,10
4,Kafr el Ghatis and el Tubgia,405,1802,1517,3319,177,• • •,3266,53,• • •,• • •,53,• • •,• • •,• • •,,• • •,,III
5,Kara. el Tubgia and Megaira,851,3075,2564,5639,248,8,5439,126,13,16,155,14,3,26,• • •,43,2,• • •
6,Karmuz Gharbi,556,3213,3057,6270,455,17,6091,66,12,2,80,31,5,40,17,93,6,• • •
7,Karmuz Sharqi,656,3439,2959,6398,839,84,5503,230,1,4,235,234,13,302,61,610,50,• • •
8,"Nubar Pasha, and Gheit el Enab",1163,4555,4312,8867,722,61,8156,314,6,1,321,93,9,179,95,376,10,4
,"Total, Karmuz Qism",6184,27177,25023,52200,5001,882,45005,1996,66,31,2093,1166,66,2467,1225,4924,164,14
,Labban Qism :—,,,,,,,,,,,,,,,,,,
1,Farahda,460,2442,2258,4700,609,240,3002,93,16,,109,1142,19,178,165,1504,85,• • •
2,Gineina el Kebira,392,884,861,1745,454,283,422,14,• • •,,14,846,14,314,54,1228,76,5
3,Gineinet el Aiuni,582,2931,2721,5652,486,126,5165,88,12,3,103,148,• • •,137,84,369,15,• • •
4,Kom Bakir,542,1238,1204,2442,503,268,1006,134,2,,136,876,5,325,65,1271,29,• • •
5,Labban and el Warsha,370,2180,1928,4108,831,354,1758,27,8,,35,1288,7,537,94,1926,389,• • •
6,Masmas el Basal,230,1311,1201,2512,550,215,1062,21,• • •,,21,1053,• • •,279,71,1403,26,• • •
7,Munair,454,1331,995,2326,249,63,1849,107,• • •,,107,83,10,239,38,370,• • •,• • •
8,Nag el Gedid,662,3114,2461,5575,465,106,4572,153,• • •,,153,601,• • •,171,61,833,17,• • •
9,Nag el Qadim,592,2533,2143,4676,271,24,4488,48,1,,49,61,3,59,13,136,3,• • •
10,Qahwat el Qizaz,251,1397,1244,2641,534,296,962,160,4,,164,1020,• • •,352,119,1491,24,• • •
11,Sabura,275,1374,1271,2645,416,155,1659,241,• • •,,241,419,• • •,183,110,712,33,• • •
12,Sikket el Gedida,161,680,669,1349,221,107,411,3,• • •,,3,416,• • •,366,121,903,32,• • •
13,Wasaa,1321,1084,1010,2094,416,222,1030,126,13,,139,533,5,307,74,919,6,• • •
,"Total, Labban Qism",6292,22499,19966,42465,6005,2549,27386,1215,56,3,1274,8486,63,3447,1069,13065,735,5
,Menshia Qism:—,,,,,,,,,,,,,,,,,,
1,Balaqtaria and Suq el Barsim,669,2850,2654,5504,850,219,3793,50,• • •,2,52,172,10,652,431,1265,394,• • •
2,Magharba and el Hamamil,536,2549,2032,4581,1383,606,1340,54,• • •,6,60,960,28,1187,124,2299,882,• • •
3,Magharba and Suq el Maaiz,859,4061,3023,7084,2479,1153,2286,54,22,1,82,1713,127,2111,375,4326,381,9
4,Menshia and Suq el Turk,843,4578,3246,7824,2554,821,2435,52,4,2,58,436,32,1983,862,3313,2016,2
,"Total, Menshia Qism",2907,14038,10955,24993,7266,2799,9854,215,26,11,252,3281,197,5933,1792,11203,3673,11
,Miniet el Basal Qism:—,,,,,,,,,,,,,,,,,,
1,Amud el Sawari,664,3881,2912,6793,564,14,6622,129,17,9,155,1,• • •,15,• • •,16,• • •,• • •
2,Kafr Asheri No. 1,372,1425,1289,2714,413,82,2269,58,6,6,70,94,31,212,20,357,18,• • •
3,Kafr Asheri No. 2,306,1825,1671,3496,356,7,3434,52,3,• • •,55,• • •,• • •,7,• • •,7,• • •,• • •
4,Kafr el Arab,333,1609,1335,2944,180,19,2654,31,24,• • •,55,46,9,179,• • •,234,1,• • •
5,Kom el Shoqafa No. 1,395,2064,1759,3823,330,14,3733,60,1,3,64,5,• • •,18,3,26,• • •,• • •
