Village or Sheyakha,Area in sq. km,population per sq. km,No. of occupied dwellings,Sex,total population ,Religion: Moslem,Religion: Christian: Orthodox,Religion: Christian: Catholic,Religion: Christian: Protestant,Religion: Christian: Other Christian,Religion: Christian: Total,Religion: Jewish,Religion: Not Stated or Other Religion ,Civil Status: Single,Civil Status: Married,Civil Status: Divorced ,Civil Status: Widowed,Civil Status: Not Stated,Literacy: Literate,Literacy: Illiterate,Blindness: Blind in One Eye,Blindness: Blind of both Eyes
El Attarin,,,,,,,,,,,,,,,,,,,,,,
1. El Attarin East (No. 1),-,-,1329,M,2536,897,1059,478,10,27,1574,46,19,1502,891,14,37,92,1087,1159,22,7
,,,,F,2471,694,1104,565,15,25,1709,40,28,1196,843,29,320,83,684,1480,8,11
2. El Attarin West (No. 2),-,-,2143,M,4414,639,2056,1448,27,18,3549,189,37,2609,1515,16,109,165,1312,23,23,15
,,,,F,4387,241,2046,1842,27,18,3933,179,34,2035,1460,36,668,188,1776,22,22,10
3. El Bab el Gedid,-,-,2763,M,6551,3511,1454,663,40,15,2172,826,42,3581,2395,42,85,448,2554,2859,67,33
,,,,F,6711,3492,1443,781,27,23,2274,828,47,2888,2420,88,822,493,1257,4137,55,21
4. Kom el Dikka East,-,-,932,M,2267,1730,267,45,2,,326,11,,1115,894,6,28,224,674,1242,26,13
,,,,F,2117,1483,259,56,3,,321,12,,897,774,26,215,205,412,1342,19,11
5. Kom el Dikka West,-,-,1067,M,2212,1875,279,45,2,,326,11,,1213,863,16,31,89,472,1355,26,16
,,,,F,2131,1798,262,56,3,,321,12,,852,849,25,306,99,160,1570,20,12
6. Menash-sha Street (Bab Sharqi),-,-,450,M,1116,326,157,168,8,4,337,416,37,636,349,6,15,110,591,324,6,3
,,,,F,1253,258,186,322,14,3,525,466,4,668,334,12,126,113,606,477,4,2
7. El Misalla (El Qadima),-,-,661,M,1523,328,700,233,18,17,968,219,8,884,509,12,44,74,1031,386,3,
,,,,F,1694,88,867,412,47,24,1350,249,7,844,462,19,272,97,1018,499,,
8. Qaraqol el Attarin (El Suri),-,-,1067,M,2503,1094,715,454,19,4,1192,188,29,1354,966,16,57,110,1240,982,14,7
,,,,F,2130,491,757,622,33,10,1422,200,8,960,702,34,325,109,967,903,12,6
9. El Raml and Sherif Pasha,-,-,1173,M,2600,862,1026,370,115,11,1522,169,47,1422,1015,15,70,78,1590,822,10,2
,,,,F,2148,125,1026,706,69,13,1814,186,23,1045,643,60,304,96,1251,740,4,1
10.Rashid West (2),-,-,681,M,1392,388,402,235,49,1,687,314,3,749,536,7,39,61,888,387,5,5
,,,,F,1529,63,590,462,53,1,1106,359,1,821,404,24,208,72,977,448,1,
11. Sundries (3),,,,M,352,120,151,58,5,3,217,14,1,193,108,4,15,32,198,118,2,2
,-,-,-,F,298,93,126,54,13,1,194,8,3,151,91,7,20,29,104,147,1,1
Total El Attarin (4),2,6125,12249,M,27466,11770,8266,4282,318,102,12968,2497,231,15258,10041,154,530,1483,12955,10946,204,103
,,,,F,26869,8826,8666,6056,330,121,15173,2707,163,12357,8982,360,3586,1584,9610,13519,146,75
,,,,Total ,54335,20596,16932,10338,648,223,28141,5204,394,27615,19023,514,4116,3067,22565,24465,350,178
El Gumruk,,,,,,,,,,,,,,,,,,,,,,
1. Abu Shusha,-,-,1002,M,2421,421,25,10,9,465,529,48,1436,841,24,27,93,524,1497,34,37,
,,,,F,2196,409,22,7,10,448,486,61,1009,842,18,242,85,187,1630,24,16,
2. El Balaqtariya,-,-,1174,M,3053,2701,249,69,8,12,338,11,3,1669,1111,14,44,215,610,1865,47,34
,,,,F,2881,2566,227,51,5,16,299,14,2,1201,1110,34,376,160,162,2194,16,23
3. El Birka (El Haggari & El Mawazin),-,-,1444,M,3336,3320,15,-,-,1,16,-,-,1946,1096,29,52,213,994,1854,38,38
,,,,F,3183,3171,11,-,-,1,12,-,-,1326,1128,69,461,199,127,2542,29,21
4. El Haggari,-,-,584,M,1409,1403,2,3,-,-,5,-,1,836,487,6,20,60,405,782,26,11
,,,,F,1371,1371,-,-,-,-,-,-,-,606,505,27,188,45,56,1067,17,9
5. El Halwagi,-,-,809,M,1664,1491,66,4,1,-,71,100,2,988,596,12,41,27,443,958,21,13
,,,,F,1656,1487,67,4,1,-,72,96,1,753,615,28,223,37,92,1305,13,18
6. El Hara el Medauwara,-,-,649,M,1561,651,384,12,-,26,422,480,8,921,545,7,39,49,481,864,19,19
,,,,F,1427,607,365,16,-,14,395,421,4,669,545,24,143,46,168,1060,10,8
7. El Khattabiya (Zawyet Khattab),-,-,1236,M,3579,3359,16,-,-,-,16,-,4,2090,1222,28,34,205,1321,1790,59,44
,-,-,,F,3287,3276,10,-,-,-,10,-,1,1558,1140,75,388,126,97,2603,30,28
8. El Maghawri & Abu Warda,-,-,592,M,1243,1227,5,4,-,-,9,-,7,720,446,17,29,31,263,789,4,6
,-,-,,F,1210,1201,3,4,-,-,7,-,2,526,450,28,170,36,43,975,3,12
9. El Mazar,,,770,M,2212,2204,5,-,-,-,5,-,3,1323,783,15,32,59,705,1206,30,19
,,,,F,2209,2204,2,-,-,-,2,-,3,1011,793,56,301,48,98,1757,20,12
10. El Qabbaniya (Zawyet el Qabbaniya),-,-,995,M,2302,2242,39,15,-,-,54,3,3,1346,796,11,31,118,529,1313,22,23
,,,,F,2311,2248,39,21,-,-,60,2,1,1052,848,57,264,90,80,1767,10,14
11. Qbaw el Mallah,-,-,1395,M,2960,2017,192,11,-,1,204,204,721,18,1624,1056,30,73,177,567,1887,43
,,,,F,2867,1968,162,7,1,2,172,172,712,15,1172,1069,54,391,181,137,2201,22
12. Ras el Tin,,,678,M,1725,1638,47,4,10,11,72,-,15,1013,594,4,29,85,338,1059,23,12
,,,,F,1706,1646,25,7,8,3,43,-,17,796,592,20,184,114,45,1261,8,12
13. Safar Pasha,,,729,M,1838,1790,39,5,1,-,45,3,-,1126,607,13,14,78,625,931,12,15
,,,,F,1809,1780,23,4,-,-,27,1,1,837,617,32,254,69,131,1397,11,8
14. El Saiyadin,,,887,M,2038,2020,11,1,-,-,12,-,6,1174,745,12,20,87,455,1229,24,11
,,,,F,2049,2036,8,-,-,-,8,-,5,925,751,40,238,95,48,1624,13,21
15. El Saiyala East (No. 1) (1),-,-,780,M,2292,2290,1,-,-,-,1,-,1,1349,803,19,35,86,504,1402,47,15
,,,,F,2254,2249,-,-,-,1,1,-,4,1000,828,43,238,95,73,1748,25,25
16. El Saiyala West (No. 2),-,-,607,M,1821,1791,17,1,1,3,22,-,8,1056,629,18,24,94,452,1089,21,23
,,,,F,1730,1704,12,1,3,2,18,-,8,759,639,39,218,75,54,1387,8,20
17. El Shimirli North,-,-,718,M,1521,1380,24,-,5,-,29,112,-,907,545,5,17,47,372,927,18,8
,,,,F,1475,1348,30,2,3,-,35,92,-,681,546,28,174,46,52,1160,8,4
18. El Shimirli South ,-,-,772,M,1572,1162,75,6,-,2,83,315,12,912,576,15,33,36,329,966,24,11
,,,,F,1489,1127,69,4,-,2,75,282,5,683,568,22,189,27,51,1142,9,13
19. Suq el Samak (Haret el Yahud),-,-,670,M,1806,500,375,21,-,5,401,905,-,1009,667,5,25,100,488,1073,22,17
,,,,F,1727,439,385,18,-,4,407,881,-,771,652,26,188,90,218,1254,23,14
20. El Timraziya,-,-,597,M,1611,1524,19,2,7,-,28,54,5,875,573,4,19,140,406,881,12,7
,,,,F,1546,1472,17,2,7,-,26,39,9,602,566,18,224,136,50,1118,11,4
21. Sundries (2),-,-,-,M,210,186,4,3,1,1,9,11,4,96,85,1,2,26,72,105,2,-
