Shayakha,Arabic,Qism,Lat,Long,1897,1907,1917,Modern Shayakha,Modern Qism
Al Meks,,Ad Dekhilah,31.138006,29.8410174,,,,Al Meks,Ad Dekhilah
Al Attarin Gharb,,Al Attarin,31.1931056,29.8981519,,,2. El Attarin West,Al Attarin Gharb,Al Attarin
Al Attarin Sharq,,Al Attarin,31.1951059,29.8992366,,,1. El Attarin East,Al Attarin Sharq,Al Attarin
Al Marghani,,Al Attarin,31.1909325,29.9028518,,,,Al Marghani,Al Attarin
Al Mesallah Gharb WA Sharif Basha,,Al Attarin,31.1978431,29.8974289,,,,Al Mesallah Gharb WA Sharif Basha,Al Attarin
Al Mesallah Sharq,,Al Attarin,31.2007381,29.9039364,,,,Al Mesallah Sharq,Al Attarin
As Souri,,Al Attarin,31.1919514,29.9014057,,,,As Souri,Al Attarin
Kom Ad Dakah Gharb,,Al Attarin,31.1956323,29.9061055,Kom el Dikka el Gharbi,,5. Kom el Dikka West,Kom Ad Dakah Gharb,Al Attarin
Kom Ad Dakah Sharq,,Al Attarin,31.1979631,29.9097206,Kom el Dikka el Charki,,4. Kom el Dikka East,Kom Ad Dakah Sharq,Al Attarin
Abou Shousha,أبو شوشة,Al Gomrok,31.198323,29.8840513,Abou Choucha,,1. Abu Shusha,Abou Shousha,Al Gomrok
Al Balqatreyah,البقطرية,Al Gomrok,31.1940516,29.8854976,El Balaktarieh el Kobra,,2. El Balaqtariya,Al Balqatreyah,Al Gomrok
Al Berkah,البركة,Al Gomrok,31.2050983,29.8804355,El Berka,,3. El Birka (El Haggari & El Mawazin),Al Berkah,Al Gomrok
Al Hagari,الحجارى,Al Gomrok,31.2037973,29.8804355,El Haggari,,4. El Haggari,Al Hagari,Al Gomrok
Al Halougi,الحلوجى,Al Gomrok,31.2001764,29.8818819,El Halwagui,,,Al Halougi,Al Gomrok
Al Maghawri,المغاوري,Al Gomrok,31.2014775,29.8818819,El Maghawri,,8. El Maghawri & Abu Warda,Al Maghawri,Al Gomrok
Al Mazar,المزار,Al Gomrok,31.2048281,29.8840513,El Mazar,,9. El Mazar,Al Mazar,Al Gomrok
As Sayadin,الصيادين,Al Gomrok,31.2027663,29.8768197,El Sayadine el Gharbi,,14. El Saiyadin,As Sayadin,Al Gomrok
