X,Y,Shiyakha,Arabic,Thumn,1907-shiyakha,field_7,field_8,field_9,1917-shiyakha,Village or Sheyakha,field_12,field_13
29.88514,31.18861,El Menayar,,4,Munair,Labban,,,8. El Minaiyar & No.4,El Labban,,
29.86623,31.16494,Kafret el Arab,,7,Kafr el Arab,Miniet el Basal,,,15. Umm Kibeiba (Kafret el Arab),Mina el Basal,,
29.87646,31.17651,Tabiet Saleh,,7,Tabiet Saleh,Miniet el Basal,,,13. Tabyet Saleh,Mina el Basal,2. Borset Mina el Basal (2),Mina el Basal
29.84418,31.14671,El Mex,,7,Meks and Dekhela,Miniet el Basal,,,9. El Max,Mina el Basal,,
29.87357,31.20327,Ras el Tine,رأس التين,1,Ras el Tin,Gumruk,,,12. Ras el Tin,El Gumruk,,
29.88220,31.18345,Kafr Achri el Awadi,,7,Kafr Asheri No. 1,Miniet el Basal,,,5. Kafr Ashri North (No. 1) (2),Mina el Basal,14. El Tubgiya West (4),Mina el Basal
29.86923,31.16794,Souk el Wardian,,7,Wardian,Miniet el Basal,,,16. El Wardyan,Mina el Basal,,
29.87924,31.17904,El Gabbari,,7,Qabbari Gharbi,Miniet el Basal,,,10. El Qabbari (5),Mina el Basal,12.  El Qabbari West,Mina el Basal
29.81787,31.12305,El Dekheila,,7,,,,,3. El Dikheila,Mina el Basal,,
29.89779,31.18767,Bab Omar Pacha,,8,,,Ezab el Bar el Tani,Moharrem Bey,,,10. Rosetta (Rashid),Muharram Bey
29.88550,31.19926,Souk el Samak el Kadim,سوق السمك,3,Haret el Yahud,Gumruk,,,19. Suq el Samak (Haret el Yahud),El Gumruk,,
29.88233,31.17713,Bab el Gabbari,,7,Qabbari Sharqi,Miniet el Basal,,,,,11. El Qabbari East,Mina el Basal
29.88510,31.19690,Kabou el Mallah,قبو الملاح,3,Qabu el Mellah,Gumruk,,,11. Qbaw el Mallah,El Gumruk,4. Suq al Turk  & El Manshiya,El Manshiya 
29.97083,31.23435,Ezbet Ghobrial w. Sallam,,10,,,,,4. Ghubrial North and ‘Ez. ‘Abd. ‘Ashur,Ramleh,,
29.90611,31.19563,Kom el Dikka el Gharbi,,6,Kom el Dikka,Attarin,,,5. Kom el Dikka West,El Attarin,,
29.90976,31.20632,Lazzaretto No 1,,6,,,,,10.Rashid West (2),El Attarin,,
29.89557,31.18001,El Toubguieh w. Bahri Kom el Choukafa,,8,,,,,,,,
29.90470,31.17996,Gheit el Enab,,8,"Nubar Pasha, and Gheit el Enab",Karmuz,,,5. Gheit el Inab,Karmus,,
29.88655,31.18075,Kafr Achri,,7,Kafr Asheri No. 2,Miniet el Basal,,,6. Kafr Ahsri South (No. 2),Mina el Basal,4. Ezbet el Agami (3),Mina el Basal
29.89924,31.18014,Gharbi Karmouz,,8,Karmuz Gharbi,Karmuz,,,10. Karmus West,Karmus,2. Bab Sidra North (Suq el Ghanam),Karmus
29.90015,31.19111,El Souri bel Attarine,,6,Suri,Attarin,,,8. Qaraqol el Attarin (El Suri),El Attarin,,
29.88188,31.20018,El Halwagui,الحلوجى,2,Halwagi,Gumruk,,,5. El Halwagi,El Gumruk,,
29.96625,31.21899,Hagar el Nawatieh,,10,,,,,,,7. Muharram Bey South,Muharram Bey
29.89526,31.18213,El Toubguieh,,8,,,,,13. El Tubgiya,Karmus,7. El Kara el Saghira,Karmus
29.95237,31.22544,Abou el Nawatir,,10,,,,,5. Mustafa Pacha and Abu Nawatir,Ramleh,9. El Nuzha,Muharram Bey
29.88981,31.19277,Karakol el Labbane,,9,Labban and el Warsha,Labban,,,,,"3. El Ibrahimiya, Campo Cesare, Sporting & Hadra North",Muharram Bey
29.88224,31.20757,El Sayala el Kobra,السيالة,1,Saiala and Sidi Yaqut,Gumruk,,,16. El Saiyala West (No. 2),El Gumruk,,
29.89203,31.19308,El Borhami w. Machmas el Bassal,,4,Masmas el Basal,Labban,,,7. Masmas el Basal,El Labban,,
29.88516,31.19495,El Balaktarieh el Kobra,,3,Balaqtaria and Suq el Barsim,Menshia,,,,,,
29.96883,31.23635,Seffer,,10,,,,,,,,
29.88188,31.20148,El Maghawri,المغاوري,2,Maghawri and Abu Warda,Gumruk,,,8. El Maghawri & Abu Warda,El Gumruk,,
29.93005,31.20440,Hadra w. El Ibrahimieh,,8,Hadra and el Ibrahimia,Moharrem Bey,,,,,2. El Hadra South,Muharram Bey
29.88984,31.18709,El Nag,,5,Nag el Qadim,Labban,,,9. El Nag' el Qadim,El Labban,,
29.88749,31.19664,El Balaktarieh el Soghra,,3,Balaqtaria,Gumruk,,,2. El Balaqtariya,El Gumruk,2. Suq el Barsim & El Balaqtariya,El Manshiya 
29.89924,31.19511,El Attarine,,6,Attarin No. 1,Attarin,,,1. El Attarin East (No. 1),El Attarin,,
29.90285,31.19093,Gharbi Bab el Guedid,,8,Bab el Gedid and el Marghani,Moharrem Bey,,,,,13. Wabur el Myah East,Muharram Bey
29.97083,31.23885,Schutz,,10,,,,,9. Shutz East and Ramleh Station,Ramleh,,
29.97883,31.21999,El Aksa,,10,,,,,,,8. Muharram Bey West,Muharram Bey
29.89345,31.19398,El Gueneina el Kobra,الجنينة الكبيرة وسوق المع,5,Gineina el Kebira,Labban,,,3. El Gineina el Kabira & Suq el Ma'iz,El Labban,,
29.87827,31.20175,Zawiet el Kabbanieh,زاوية القبانية,1,Zawiet Qabbania,Gumruk,,,10. El Qabbaniya (Zawyet el Qabbaniya),El Gumruk,,
29.88996,31.17820,Gharb Kom Choukafa,,8,Kom el Shoqafa No. 1,Miniet el Basal,,,,,,
29.88496,31.20086,Medawara,مدورة,2,Medawara,Gumruk,,,6. El Hara el Medauwara,El Gumruk,,
29.87971,31.20788,El Sayala el Soghra,السيالة,1,Abasieri and Abu el Abbas,Gumruk,,,15. El Saiyala East (No. 1) (1),El Gumruk,,
29.89092,31.18064,Kom Choukafa el Barrani,,8,Kom el Shoqafa No. 2,Miniet el Basal,,,,,4. Gami Sultan,Karmus
29.96621,31.22713,El Dahrieh,,10,,,,,11. El Zahiriya South,Ramleh,,
29.87902,31.17470,El Mafrouza,,7,Mafruza,Miniet el Basal,,,8. El Mafruza ,Mina el Basal,,
29.87682,31.20277,El Sayadine el Gharbi,الصيادين,1,Saiadin,Gumruk,,,14. El Saiyadin,El Gumruk,,
29.89405,31.18122,El Ghatès,,8,Kafr el Ghatis and el Tubgia,Karmuz,,,8. Kafr el Ghatis,Karmus,11. Nubar Pasha,Karmus
29.88405,31.20158,Haret el Chemirli el Gharbi,الشمرلى,2,Shemirli and Zawiet el Arag,Gumruk,,,17. El Shimirli North,El Gumruk,,
29.89048,31.19455,El Hamamil,,9,Magharba and el Hamamil,Menshia,,,1. El Hamamil & El Magharba,El Manshiya ,4. Lambrozo & El Farkha,Muharram Bey
29.96972,31.24701,San Stefano,,10,,,,,6. Palace San Stefano and Gianaclis,Ramleh,,
29.89779,31.18507,Bab Sidra el Barrani I,,8,Bab Sidra Gharbi,Karmuz,Kara. el Tubgia and Megaira,Karmuz,3. Bab Sidra West,Karmus,1. Ezab el Barr el Qibly,Muharram Bey
29.97783,31.24346,Haret el Chokhchokh,,10,,,,,,,,
29.88767,31.18895,El Takhachib w. El Tartouchi,الحارة الواسعة والتخشيبة,4,Wasaa,Labban,,,4. El Hara el Was'a,El Labban,,
29.88908,31.19633,El Set Ne'emah,,9,X Menshia and Suq el Turk,Menshia,,,,,5. El Lazarito,Muharram Bey
29.87899,31.20417,El Sayadine el Charki,زاوية خطاب,1,Zawiet Khattab,Gumruk,,,7. El Khattabiya (Zawyet Khattab),El Gumruk,,
29.97323,31.23835,Ezbet Achour w. Abdallah,,10,,,,,,,"8. El Raml, Abu Nawatir and Carlton",Ramleh
29.90683,31.19089,Charki Bab el Guedid,,8,Bab el Gedid and Paolino,Moharrem Bey,Lazaretto,Moharrem Bey,"12. Raghib Pasha (El Bab el Gedid, East)",Karmus,12. Sid Gaber & Cleopatra,Muharram Bey
29.95526,31.23511,Fleming,,10,,,,,3. Fleming South,Ramleh,,
29.88911,31.19118,El Ibrahimi w. Kahwet el Kezaz,,4,Qahwat el Qizaz,Labban,,,12. El Tartushi (Qahhwet el Qizaz),El Labban,,
29.90087,31.20064,El Messalla w. Charé'h el Ramleh,,6,Mesalla el Qadima,Attarin,,,7. El Misalla (El Qadima),El Attarin,,
29.88405,31.20288,El Temrazieh,التمرازية,2,Timrazia,Gumruk,,,20. El Timraziya,El Gumruk,,
29.90394,31.20074,El Messalla w. Bab Charki,,6,Mesalla el Gedida,Attarin,,,3. El Bab el Gedid,El Attarin,,
29.96483,31.24035,Bacos w. El Souk,,10,,,,,"1. Bacos, Shutz West, Mazlum Pasha Zizina and San Stefano.",Ramleh,,
29.89418,31.18794,Gueneinet el Eiouni ,,5,Gineinet el Aiuni,Labban,,,1. Bab Sidra el Guwwani & El Uyuni,El Labban,,
29.89815,31.19311,El Attarine w. Cicolani,,6,Attarin No. 2,Attarin,,,2. El Attarin West (No. 2),El Attarin,,
29.88694,31.18718,El Sabourah,,4,Sabura,Labban,,,11. El Sabura ,El Labban,,
29.88768,31.18519,Kom el Choukafa el Gouwani w. el Borsa,,5,,,,,,,,
29.89128,31.18933,El Farahdah,,5,Farahda,Labban,,,2. El Farahda,El Labban,13. Warshet el Tubgyia (Haret el Labbana & El Warsha),El Labban
29.89671,31.17786,El Kara w. Charki Kom el Choukafa,,8,,,,,,,7. Kom el Shuqafa No. 1 and No. (2) (2),Mina el Basal
29.88630,31.19242,El Sekka el Guedida w. Forn el Guerayah,,4,Sikket el Gedida,Labban,,,5. El Karasta (El Sikka el Gedida),El Labban,,
29.88405,31.19832,Abou Choucha,أبو شوشة,3,Abu Shusha,Gumruk,,,1. Abu Shusha,El Gumruk,,
29.88583,31.20201,Haret el Chemirli el Charki,الشمرلى,2,Shemirli,Gumruk,,,18. El Shimirli South ,El Gumruk,,
